mtime,AJ,BW,CF,CM,CQ,CW,CZ,DO,DV,ER,EZ,FM,FO,GJ,HQ,IN,IR,IT,JL,JQ,JY,NP,NT,OQ,PT,PY,RW,SU,TX,TY
2021-11-01T05:25,24900,20648,18435,18465,21948,16168,20122,19957,20430,18985,17828,22302,19153,19451,19959,19765,20978,19581,21841,17795,21802,19999,19070,21323,19056,17051,21414,21488,19309,18889
2021-11-01T05:30,18154,18818,19091,16655,20530,20232,15637,21608,21824,21103,18845,21990,17992,19925,21519,19994,19600,20103,16635,20560,20415,18158,16877,21004,19740,18832,21057,18894,16578,22120
2021-11-01T05:35,16495,18135,20778,17162,17855,22561,17696,20546,18988,20613,20508,19613,19880,19924,20860,17550,18425,20247,17803,21613,20670,19386,18932,18262,18475,20225,22175,17278,20023,22342
2021-11-01T05:40,18007,21978,20109,20545,18082,18309,19321,17985,21233,16183,20812,20242,19626,16581,18511,18746,18329,17942,21238,16133,21181,19270,18342,21591,18098,19571,17804,20280,18988,17954
2021-11-01T05:45,17359,17401,19831,18730,18263,17507,21811,21115,17763,16435,19396,18686,19630,16234,19387,19308,19904,22149,17077,21696,17169,19355,19442,20469,19382,18047,20796,20709,19219,18926
2021-11-01T05:50,19005,18124,18832,22136,20419,16536,18100,17620,21966,21007,20429,17959,19652,17915,19342,19008,20526,18397,21310,19457,20676,20773,15256,19903,19086,16639,21509,19871,20581,20258
2021-11-01T05:55,18803,18137,20971,19860,20166,19758,22588,17585,17707,21881,20601,20050,20217,18738,18103,20610,20370,20297,21962,22705,18950,18638,21302,17807,18636,18794,17291,0,18288,17746
2021-11-01T06:00,20701,20908,19254,20520,19153,18641,18848,17129,20374,22955,17816,19498,21262,19177,21722,18240,21867,17950,20863,19087,19076,18439,19373,18458,20624,24243,18701,17815,19715,18526
2021-11-01T06:05,16573,21034,18876,20881,21102,19690,20059,21583,20642,22033,19371,18208,19417,23406,20255,21084,19932,18446,22136,23454,17287,21813,17720,20284,22558,17752,19869,20671,19153,19367
2021-11-01T06:10,19462,19311,20796,20002,17970,17889,20892,17102,18994,21329,21165,19945,18435,17496,18384,19947,19569,22364,20763,18863,23969,20874,23580,20426,22967,18194,17566,21344,23666,20478
2021-11-01T06:15,19377,18723,18685,20807,20974,16579,17661,19143,17975,18723,19009,20180,20520,18429,19066,18530,19248,20140,18289,18245,19576,18725,20968,21196,22855,20237,20602,19974,22116,18511
2021-11-01T06:20,18648,18529,19983,21151,17599,21915,20535,17577,18741,20436,21786,22109,16897,18825,18367,18905,0,19575,20778,20758,19485,21029,18604,18785,18095,21080,18047,16445,17669,16792
2021-11-01T06:25,21650,19379,18239,20431,19962,21293,19393,18805,20249,18954,22784,19285,20163,17231,18644,19926,18183,19557,20178,19604,21880,19707,19209,18084,19290,18452,17221,21908,20786,21077
2021-11-01T06:30,19111,18445,16666,22134,20984,19169,19419,20636,22311,21328,20666,20415,20763,20830,21530,17902,19575,17226,21110,20171,21446,19317,18276,21217,21539,17430,20985,19590,21730,18055
2021-11-01T06:35,18328,19847,20250,20043,19871,20427,19020,18583,18747,19379,20679,20125,19787,18598,18403,22630,22764,19173,17860,21067,21612,18183,21471,19095,20874,16224,20550,20362,17636,20499
2021-11-01T06:40,19356,19039,19796,19223,20144,17396,20724,20176,18658,0,20365,19679,18451,22750,18294,18097,18726,18793,18254,18150,18074,21486,18547,19392,17270,18935,19947,23462,20496,21924
2021-11-01T06:45,20907,18070,18681,21220,19398,19208,18550,18547,20334,17621,21766,19814,19170,21864,19657,19500,18876,20427,22386,23443,20702,21322,17371,18977,18378,21974,22133,16570,17241,18734
2021-11-01T06:50,17720,19790,19353,19977,20421,20828,22132,18111,20131,19710,20654,18572,20129,21367,18442,18560,18524,20243,20476,20638,19875,19287,18950,20312,21653,19989,21274,16277,18856,22016
2021-11-01T06:55,16472,19528,17809,19343,20741,20249,16141,17633,20329,22657,20497,18621,19007,18965,19011,21281,17942,20934,19359,15112,19186,18553,17165,19325,19472,20394,19866,22781,19264,19768
2021-11-01T07:00,20782,19018,18276,18274,20016,19306,19067,15739,21309,19550,16825,20018,19959,21682,21074,17694,20169,20197,19266,18818,22432,18237,19899,17247,18080,19677,22033,20746,21126,19642
2021-11-01T07:05,18820,18448,20339,18368,19945,21051,21611,19269,21341,16114,16024,18008,18798,19941,18804,19945,22104,18382,19611,17421,19121,19258,20630,18870,20496,19516,20452,17595,20269,23222
2021-11-01T07:10,18392,17871,19848,19858,19758,21521,18711,17451,19784,18429,19351,19890,18249,20134,20413,19784,19216,20644,16569,17067,21121,18684,20177,19680,18497,20362,19178,19475,18853,19709
2021-11-01T07:15,16883,18255,19830,22082,21381,19508,21091,17452,19869,19056,20982,18161,18395,17056,16890,21128,22049,21057,19891,20057,21474,20596,18330,21215,18727,20872,18508,21320,21118,20117
2021-11-01T07:20,18257,18966,18671,18073,17944,20806,17257,18582,20450,20256,21249,20746,0,18556,18737,19280,20866,18496,19920,20470,21515,20313,18753,18203,21108,21996,19200,22720,23219,19572
2021-11-01T07:25,18997,19170,20461,19721,20007,23206,19676,19091,22592,18452,20734,20482,19620,20077,18721,20774,18612,19174,18992,17675,18851,20648,20570,19060,23425,16603,17369,20455,18297,19054
2021-11-01T07:30,18835,20521,20336,22182,16611,20380,17731,18479,19231,20404,17896,23307,21350,17259,17070,22149,18920,18505,21341,19458,19039,19073,19374,20788,19362,18638,22450,20102,20414,21280
2021-11-01T07:35,21950,18080,19827,18003,15426,21067,18101,16425,20591,18335,19931,19492,18134,17897,20871,19741,21532,18331,20572,17661,19063,21668,15800,20192,18889,20976,19606,17882,20632,16843
2021-11-01T07:40,18340,19484,21179,19279,20287,16098,21764,20059,19963,18403,20866,17692,20029,19231,20650,18912,19316,17591,20392,18637,20030,20578,19201,22288,18591,19773,19071,19752,21725,20546
2021-11-01T07:45,19898,17281,20140,21255,20985,20220,17548,18331,20385,19126,19502,19351,20211,18073,23116,20623,17033,16684,20958,21364,18926,0,17103,20238,18411,19934,20212,19545,19462,22764
2021-11-01T07:50,20629,17953,19064,19831,17298,18689,17665,20142,17936,19465,21248,17557,18706,18170,17219,19801,18403,20501,20153,17656,19001,21402,21358,18321,17174,17006,18555,19076,20649,19635
2021-11-01T07:55,18507,20253,17828,16563,19373,21240,18001,21274,20717,19421,19048,22150,17704,19467,19480,21547,18400,20030,18410,20831,20979,19763,18932,20413,19329,20640,20009,21459,20665,16601
2021-11-01T08:00,20549,18064,18973,20232,19966,19357,18496,17810,20587,20742,17412,17983,16024,17902,20986,19397,18346,20190,20081,18649,18291,20823,18797,19658,18041,19126,19868,20995,18317,17759
2021-11-01T08:05,17697,17365,20753,18870,20120,18375,22976,21660,16516,20659,18953,17450,15277,19267,20135,19747,21388,17630,19670,20589,17682,17943,21129,17716,18167,20130,18118,19654,17623,23006
2021-11-01T08:10,18281,19213,20358,21396,21006,19714,19594,19454,21768,20333,16813,18759,18170,17464,19323,20225,22345,17391,18552,17601,18672,19584,21120,19831,16243,21727,17581,20154,19483,17907
2021-11-01T08:15,19769,18777,19280,17687,19533,18409,20639,20512,16549,19593,21216,19040,20370,21479,20267,19390,20255,19172,19746,18235,15813,20410,20055,18156,21926,18667,22537,16743,18712,17315
2021-11-01T08:20,18188,18045,18081,19969,19211,17923,18767,20009,19706,22232,17018,22146,18978,17345,17411,19216,21271,18550,22426,17732,16534,18578,18172,19542,20914,21060,18937,19482,20870,19840
2021-11-01T08:25,19552,21838,18265,17829,17512,18240,17516,19765,19749,20912,23565,19232,19066,17736,21702,19190,19189,16965,18203,23101,18048,19061,19561,18713,20104,23167,20134,18360,18054,19854
2021-11-01T08:30,17737,21777,21284,21118,18404,20685,19765,15989,20614,20701,15969,20236,18585,15561,17743,16229,18777,21160,19303,22148,18325,19113,18660,18198,17529,19702,20589,21411,17337,19959
2021-11-01T08:35,16161,22015,19487,21366,20753,20952,17757,18680,19316,15852,21234,18643,20246,18946,19977,18257,22390,21421,18581,20684,20224,21651,18615,18609,19621,21153,20910,21984,18567,17303
2021-11-01T08:40,16620,16406,18523,22032,17960,21425,19998,19340,17154,16404,21121,19820,20532,20968,19142,18036,18684,16574,18062,21740,18542,17610,17742,21517,19440,18350,17052,22209,19143,19299
2021-11-01T08:45,20360,21141,19895,19035,19732,20204,19466,15207,17393,19391,19400,19158,17765,17415,17569,20684,17114,20303,17446,18043,21609,24549,19214,19706,18605,19780,19616,17668,22562,19185
2021-11-01T08:50,20528,19855,20732,20377,20244,16773,18110,19646,17919,18641,21089,20566,18609,18756,19198,18789,18167,17881,17744,18355,19800,18419,19498,20992,21147,19516,19041,19361,18380,18385
2021-11-01T08:55,22786,19458,19514,20039,18856,20249,20175,21643,17690,16782,21503,18648,17784,21100,17964,22889,20650,17869,17733,15752,20997,21163,16418,18575,17865,17972,19850,18618,20068,19743
2021-11-01T09:00,19099,21294,20827,19281,20762,17592,20388,18896,16679,19595,21545,18610,19047,21361,18606,20992,17393,19771,18654,16509,20305,18635,19054,19092,17815,20184,17873,20180,21292,19991
2021-11-01T09:05,20289,18106,18520,21068,16971,18896,18389,18650,23541,18440,19313,20111,18594,18558,18740,19526,21114,19650,20860,21903,21116,21163,21616,15889,20376,20601,0,18924,18642,21587
2021-11-01T09:10,21909,20091,21258,22214,18985,22032,19278,19741,17797,22780,19022,19797,16736,18241,19165,18602,19890,21911,18791,19713,20929,18594,21256,19613,19659,17100,19086,16645,20540,20354
2021-11-01T09:15,19492,19017,20445,17274,19863,19440,17777,17332,20625,17420,18674,24201,19909,16846,18540,21144,20123,19643,21611,16084,18433,19648,21253,20692,19295,17797,20775,16922,19298,20507
2021-11-01T09:20,20418,18365,19510,20798,20193,18264,17757,19630,19511,18499,18144,20586,18912,17182,18753,22097,21099,20520,20246,20633,22846,16227,16789,19551,18766,18055,19560,18623,19723,17395
2021-11-01T09:25,17953,17343,17096,19604,21508,18765,20030,15878,19934,20040,19484,21478,20454,17895,19264,21306,17546,19646,18767,18358,19938,15371,18018,21259,19334,19528,20826,19315,17710,20750
2021-11-01T09:30,16272,20714,19702,18976,18103,19457,20149,19202,19461,20038,19082,18415,19822,21338,20218,20586,19826,19188,20079,15419,17094,0,18358,16595,20422,20386,19155,17537,20195,20640
2021-11-01T09:35,20404,19844,21195,20613,21508,20775,20991,19410,20149,16703,20135,18422,21633,20315,20032,19072,17557,0,20260,19283,19745,18419,17389,22011,21457,20020,23476,16777,20470,19811
2021-11-01T09:40,19034,17058,21427,20085,17924,20569,20929,21373,20289,17109,22226,21792,20361,17429,23190,19379,22917,17449,20730,17457,17765,19625,20560,19605,16001,19214,19554,19934,17798,20281
2021-11-01T09:45,18803,17688,17878,20682,18564,19840,19028,16904,20423,18051,20146,17878,19369,19278,21509,20238,22091,19491,20293,18313,20096,16848,20035,15396,18261,19178,21225,19820,16779,18204
2021-11-01T09:50,17783,22625,20323,20469,19947,20743,20595,20552,16951,19597,17877,17896,18938,18640,21539,19066,19026,18545,0,19249,20414,20702,23433,19376,19607,20069,22851,18922,19530,19036
2021-11-01T09:55,22527,19996,18722,21103,17397,19751,19637,19114,19678,19439,17117,18268,20062,19339,19555,17843,19704,17586,20422,15929,21257,18652,16468,22347,19128,19016,0,19834,23643,19497
2021-11-01T10:00,17800,20087,19193,18731,18994,22163,18721,20308,18949,17570,19333,20700,17767,21227,17741,19011,20726,18046,18624,17523,23191,19777,22946,18970,20140,18223,20611,16871,19900,18686
2021-11-01T10:05,20171,19409,19817,22836,20007,15540,19410,16680,20277,16904,18037,18199,19856,20043,21169,18969,19266,19821,20573,17588,20230,19838,18453,18664,20797,19164,17628,21768,17678,19285
2021-11-01T10:10,19789,21138,18941,19826,20285,20995,20403,20532,20814,20108,18431,19829,18706,18433,20168,19207,19198,19422,15878,23150,17835,17990,20300,19474,18308,23701,20588,21956,18033,20769
2021-11-01T10:15,20171,19475,18449,19124,17845,17214,17733,18492,19119,19549,19661,21832,22427,0,19484,17581,19292,20197,20046,22258,21508,18066,22142,20361,18758,19502,16634,20835,21257,16369
2021-11-01T10:20,18873,20261,17661,19208,20512,19566,19660,18131,18432,19968,20126,20890,19431,17932,15823,19469,18156,19965,20090,19281,20363,18535,16375,19270,18286,19684,17504,17995,21275,19707
2021-11-01T10:25,19533,18940,20010,16653,18005,19907,17678,20531,19652,17436,17117,22343,20253,21918,19196,17538,19626,20391,18128,19096,19863,18117,17234,17088,18462,19077,17308,21045,19594,21241
2021-11-01T10:30,23922,21118,21008,20596,20146,19885,20641,17980,19855,21061,20692,19085,18545,18779,21025,18464,21597,17720,17729,19970,20055,20737,19575,20245,20152,19372,20824,16066,17086,21007
2021-11-01T10:35,20879,20438,19865,20373,20250,22608,19600,18441,17934,19836,16348,16394,19457,19052,17646,20814,18130,20821,18937,21280,17529,18494,19774,18133,21292,17587,21955,16798,0,18354
2021-11-01T10:40,17138,16698,16242,19786,20142,17448,21711,21714,19224,18857,17060,18491,20589,21337,18871,16753,20837,18770,20748,17077,20368,18764,17860,19035,17707,22454,19591,19014,21349,20682
2021-11-01T10:45,19348,20494,22587,19820,17615,21122,20392,20618,19445,20384,20405,20556,19226,21954,18399,18507,22368,18896,18678,22002,21240,19841,19114,22273,19500,19802,19048,21820,20633,18430
2021-11-01T10:50,20028,21019,20625,20297,22650,20711,19561,20555,19889,21314,22169,17736,23641,18353,18186,20860,18058,19154,19446,17938,21302,18762,18629,19224,16471,20221,19974,17339,17544,21248
2021-11-01T10:55,21252,18976,18828,19502,18667,18573,18206,17320,20600,19063,17938,20408,19594,22132,18065,20762,19990,21061,20043,19519,19596,18516,22979,18802,22791,20625,18570,16949,19451,17663
2021-11-01T11:00,19701,16757,21556,20018,18762,21627,20076,16450,18905,21094,15152,17983,17121,22212,21362,16569,20204,20993,21640,21939,19197,19088,16540,19012,17986,18614,19436,19734,17467,19076
2021-11-01T11:05,18640,21350,18056,18180,19589,19950,21641,18619,17935,18600,19757,20858,18450,17513,18401,19126,20914,20005,18945,17939,19979,19686,19926,17693,18212,19772,20143,18119,19842,17781
2021-11-01T11:10,22877,19923,20715,17486,20569,21423,21612,17512,16319,21052,20577,19482,17938,18663,18955,19321,22090,17630,17717,19321,17491,19660,18976,21217,21177,20465,20142,20438,20642,18183
2021-11-01T11:15,20253,19208,17398,21245,19563,19225,18742,20211,19959,18918,19968,14843,17296,17328,19925,19763,19575,18406,18474,20462,18186,12304,19665,19447,20072,23698,22123,20195,22550,18034
